Title,Keyword,Keyword ID,Keyword Label,Position,Previous position,Last Seen,Search Volume,CPC,Traffic,Traffic (%),Traffic Cost,Traffic Cost (%),Competition,Number of Results,Keyword Difficulty
Become a Certified ScrumMaster | Today's Offer: Up To 51% Off,scrum master certification,3,Scrum Master,3,3,2025-01-04,18100,3.21,162,0.86,520,0.8,0.64,31900000,74.0
PMP® Certification | Confidently Ace The PMP Exam,project management professional certification,1,PMP,4,4,2024-12-31,18100,3.76,126,0.67,473,0.72,0.6,931000000,82.0
Simplilearn® Courses | Online Certification Courses,simplilearn,6,Simplilearn,2,2,2025-01-12,8100,2.31,105,0.56,242,0.37,0.14,4490000,68.0
CAPM® Certification Training | Ace CAPM® Exam in 1st Attempt,capm certification,2,CAPM,4,4,2025-01-25,14800,2.72,103,0.55,280,0.43,0.63,5790000,58.0
ITIL Certification Course - 100% Exam Pass Guarantee,itil certification,5,ITIL,4,4,2025-01-26,14800,2.33,103,0.55,239,0.36,0.49,13700000,55.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,scrum master certification,3,Scrum Master,5,5,2024-12-29,18100,3.4,90,0.48,306,0.47,0.56,32700000,74.0
Simplilearn Post Graduate - Online Post Graduate Programs,post graduate program in digital marketing simpli learn purdue cost,6,Simplilearn,1,1,2025-01-21,1900,0.0,89,0.47,0,0.0,0.0,68,30.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification requirements,1,PMP,2,2,2025-01-14,6600,2.37,85,0.45,201,0.31,0.59,166000000,55.0
SAFe® Agilist Certification | Special Offer: Get $250 Off,safe certification,7,SAFe,2,2,2025-01-24,6600,3.77,85,0.45,320,0.49,0.41,1400000000,48.0
PMP® Certification | Ace PMP Exam in 1st Attempt,pmp certifications,1,PMP,1,1,2025-01-19,1600,3.82,75,0.4,286,0.44,0.65,35300000,73.0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn login,6,Simplilearn,1,1,2025-01-23,1600,1.31,75,0.4,98,0.15,0.13,64,57.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,smum master certification,3,Scrum Master,1,1,2025-01-02,1600,0.0,75,0.4,0,0.0,0.0,16200000,68.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master,3,Scrum Master,2,2,2024-12-30,5400,2.68,70,0.37,187,0.28,0.43,24600000,73.0
CSPO® Certification | Limited Offer: Enroll @ $270,cspo,4,CSPO,2,2,2025-01-07,5400,4.09,70,0.37,286,0.44,0.41,8660000,44.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certification,3,Scrum Master,4,4,2025-01-24,9900,3.21,69,0.36,221,0.34,0.64,31500000,54.0
PMP® Exam & Certification - Special Offer: Get $400 Off,pmp certification cost,1,PMP,5,5,2025-01-07,12100,2.59,60,0.32,155,0.23,0.33,112000000,46.0
PMP® Exam & Certification,pmp exam,1,PMP,3,0,2025-01-26,6600,2.6,59,0.31,153,0.23,0.39,21000000,60.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certification,3,Scrum Master,6,6,2024-12-30,9900,3.4,49,0.26,166,0.25,0.56,13200000,55.0
CSPO® Certification | Special Offer: Flat $279 Off,cspo,4,CSPO,3,3,2025-01-03,5400,4.09,48,0.25,196,0.3,0.41,8780000,44.0
Simplilearn® Courses - Online Certification Courses,simplelearn,6,Simplilearn,1,1,2025-01-13,1000,2.31,47,0.25,108,0.16,0.14,4340000,56.0
Simplilearn® Courses - Online Certification Courses,simpli learn,6,Simplilearn,1,1,2025-01-06,1000,2.31,47,0.25,108,0.16,0.14,4430000,66.0
Simplilearn® Courses | Online Certification Courses,simply learn,6,Simplilearn,1,1,2025-01-06,1000,2.31,47,0.25,108,0.16,0.14,4350000,62.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmp exam,1,PMP,4,4,2024-12-31,6600,2.17,46,0.24,99,0.15,0.36,24200000,68.0
PMP® Exam & Certification | Special Offer: Get $400 Off,pmp exam,1,PMP,4,4,2025-01-10,6600,2.6,46,0.24,119,0.18,0.39,20400000,63.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification exam questions,1,PMP,1,1,2025-01-17,880,1.06,41,0.21,43,0.06,0.45,94000000,37.0
Simplilearn® Official Site | Online Courses,simplilearn americas,6,Simplilearn,1,1,2024-12-31,720,1.88,33,0.17,62,0.09,0.16,775000,37.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp exam cost,1,PMP,2,2,2025-01-15,2400,2.28,31,0.16,70,0.1,0.28,11400000,38.0
PMP® Exam & Certification | Flat 40% Off - Enroll Now,pmp exam cost,1,PMP,2,2,2025-01-22,2400,2.28,31,0.16,70,0.1,0.28,11600000,44.0
Simplilearn® Courses - Online Certification Courses,simplylearn,6,Simplilearn,1,1,2025-01-17,590,2.31,27,0.14,62,0.09,0.14,0,80.0
TOGAF® Architect Certification | Enroll in TOGAF® Course Now,togaf certification,8,TOGAF,2,2,2025-01-20,1900,2.34,24,0.12,56,0.08,0.52,1440000,43.0
PMP® Certification - Flat 40% Off - Enroll Now,pmp exam fee,1,PMP,2,2,2024-12-27,1900,1.85,24,0.12,44,0.06,0.34,8680000,27.0
ITIL® 4 Certification Course | Accredited Course Curriculum,itil certifications,5,ITIL,4,4,2025-01-25,2900,2.33,20,0.1,46,0.07,0.49,11300000,63.0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn login,6,Simplilearn,2,2,2025-01-09,1600,1.31,20,0.1,26,0.04,0.13,75,55.0
SAFe® Agilist Certification | Special Offer: Get $250 Off,scaled agile framework certification,7,SAFe,4,4,2025-01-10,2900,3.77,20,0.1,75,0.11,0.41,5330000,57.0
Simplilearn® Courses - Online Certification Courses,simlilearn,6,Simplilearn,1,1,2025-01-06,390,2.31,18,0.09,41,0.06,0.14,4380000,70.0
TOGAF® Architect Certification | Enroll in TOGAF® Course Now,togaf certified,8,TOGAF,1,1,2024-12-28,390,2.35,18,0.09,42,0.06,0.41,1460000,50.0
AWS Certification Course,amazon web service certification,9,AWS,2,2,2025-01-24,1300,1.74,16,0.08,27,0.04,0.34,318000000,97.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmp practice exam free,1,PMP,1,1,2025-01-01,320,1.5,15,0.08,22,0.03,0.43,3230000,29.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp study course,1,PMP,1,1,2025-01-24,320,8.96,15,0.08,134,0.2,0.19,35800000,58.0
SAFe® Agilist Certification | Limited Offer: Enroll @ $545,scaled agile framework certification,7,SAFe,6,6,2025-01-10,2900,3.77,14,0.07,52,0.08,0.41,5330000,57.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,how to get pmp certification,1,PMP,4,4,2025-01-15,1900,3.92,13,0.06,50,0.07,0.69,39400000,46.0
TOGAF® Architect Certification | TOGAF® Free Exam Retake,togaf certification,8,TOGAF,4,4,2024-12-30,1900,2.35,13,0.06,30,0.04,0.41,1750000,45.0
Simplilearn® Courses,simply learn,6,Simplilearn,2,2,2025-01-06,1000,2.31,13,0.06,30,0.04,0.14,4350000,62.0
Simplilearn® Courses,simplelern,6,Simplilearn,1,1,2025-01-01,260,1.88,12,0.06,22,0.03,0.16,4570000,48.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp course,1,PMP,5,5,2025-01-23,2400,7.22,12,0.06,86,0.13,0.69,71600000,70.0
Simplilearn® Official Site,login simplilearn,6,Simplilearn,1,1,2025-01-08,260,1.31,12,0.06,15,0.02,0.13,1920000,45.0
PMP® Exam & Certification,pmp test,1,PMP,4,4,2025-01-22,1600,2.6,11,0.05,28,0.04,0.39,51700000,67.0
Simplilearn® Official Site,simplilern,6,Simplilearn,1,1,2025-01-05,210,2.31,9,0.04,20,0.03,0.14,4330000,63.0
SAFe® Agilist Certification | Special Offer: Get $250 Off,scale agile certification,7,SAFe,2,0,2025-01-26,720,3.77,9,0.04,33,0.05,0.41,37100000,44.0
AWS Certified Cloud Practioner | Special Offer Get Flat 43% Off,aws practitioner certification,9,AWS,3,0,2025-01-26,1000,1.5,9,0.04,13,0.02,0.41,29200000,78.0
TOGAF® Architect Certification - TOGAF® Free Exam Retake,togaf certification,8,TOGAF,6,6,2025-01-20,1900,2.34,9,0.04,21,0.03,0.52,1440000,43.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmi pmp certification,1,PMP,2,2,2025-01-13,720,3.98,9,0.04,35,0.05,0.57,8920000,70.0
TOGAF® Enterprise Architecture | Master TOGAF® Core Concepts,togaf training,8,TOGAF,1,1,2025-01-25,210,3.85,9,0.04,34,0.05,0.38,4160000,43.0
Simplilearn Online Bootcamps | Online Certification Courses,simpilearn,6,Simplilearn,1,1,2025-01-22,170,2.31,7,0.03,16,0.02,0.14,4260000,49.0
Simplilearn® Courses,simplylearn,6,Simplilearn,2,2,2025-01-01,590,1.88,7,0.03,13,0.02,0.16,4820000,47.0
Simplilearn Courses,simplilearning,6,Simplilearn,1,1,2025-01-13,170,0.0,7,0.03,0,0.0,0.0,4240000,78.0
Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,scrum master certification free,3,Scrum Master,4,4,2025-01-06,1000,1.79,7,0.03,12,0.01,0.55,4570000,42.0
TOGAF® 10 Certification Course | Master TOGAF® Core Concepts,togaf certifications,8,TOGAF,1,1,2025-01-01,140,2.35,6,0.03,14,0.02,0.41,2880000,51.0
Simplilearn Online Bootcamps | Online Certification Courses,smplilearn,6,Simplilearn,1,1,2025-01-22,140,2.31,6,0.03,13,0.02,0.14,4210000,49.0
Simplilearn® Courses | Online Certification Courses,simplileaern,6,Simplilearn,1,1,2025-01-18,140,2.31,6,0.03,13,0.02,0.14,4480000,38.0
Simplilearn® Courses,simplileanr,6,Simplilearn,1,1,2025-01-19,140,2.31,6,0.03,13,0.02,0.14,4340000,49.0
Become Certified Scrum Master | Flash Sale: Enroll @ $270,certified scrum certification,3,Scrum Master,4,4,2025-01-10,880,3.01,6,0.03,18,0.02,0.56,6460000,73.0
Simplilearn® Official Site - Online Certification Courses,simpllearn,6,Simplilearn,1,1,2025-01-15,140,2.31,6,0.03,13,0.02,0.14,4210000,54.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp certification training,1,PMP,5,5,2025-01-24,1300,9.39,6,0.03,56,0.08,0.42,209000000,70.0
Simplilearn® Courses | Online Certification Courses,simplilarn,6,Simplilearn,1,1,2024-12-31,110,1.88,5,0.02,9,0.01,0.16,4570000,44.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,project management professional prep course,1,PMP,3,3,2025-01-23,590,8.96,5,0.02,44,0.06,0.19,41600000,43.0
PMP® Training & Exam - Ace PMP Exam in 1st Attempt,pmp exam practice test,1,PMP,3,3,2025-01-26,590,2.08,5,0.02,10,0.01,0.52,5570000,32.0
PMP® Certification Training | Ace PMP Exam in 1st Attempt,how to prepare for pmp certification,1,PMP,1,1,2025-01-13,110,3.07,5,0.02,15,0.02,0.4,10200000,33.0
ITIL Foundations Course | 100% Exam Pass Guarantee,itil 4 foundation certification,5,ITIL,2,2,2025-01-09,390,3.33,5,0.02,16,0.02,0.52,9890000,44.0
Simplilearn® Courses | Level Up Your Skills | Launch Your Career,simpli lear,6,Simplilearn,1,1,2025-01-02,90,1.88,4,0.02,7,0.01,0.16,4460000,38.0
Simplilearn® Courses,simplilearn azure,6,Simplilearn,1,1,2025-01-20,90,0.0,4,0.02,0,0.0,0.43,231000,36.0
Cloud Architect Certificate - Become a Cloud Architect,cloud architect certification,10,Cloud,3,3,2025-01-22,480,6.39,4,0.02,25,0.03,0.4,63800000,77.0
PMP® Certification Training | Flat 40% Off - Enroll Now,cheap pmp certification,1,PMP,1,1,2025-01-18,90,5.98,4,0.02,23,0.03,0.46,40900000,25.0
CSPO® Certification Course | Limited Offer: Flat $279 Off,cspo training,4,CSPO,3,3,2024-12-31,480,6.97,4,0.02,27,0.04,0.24,8690000,44.0
Simplilearn® Official Site,simplilearn log in,6,Simplilearn,1,1,2025-01-20,90,1.31,4,0.02,5,0.0,0.13,61,19.0
Simplilearn ITIL 4 Training - Online Certification Courses,skillup by simplilearn,6,Simplilearn,1,1,2024-12-31,90,4.47,4,0.02,17,0.02,0.31,55,49.0
CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,certified scrum master class,3,Scrum Master,2,2,2025-01-24,260,5.46,3,0.01,16,0.02,0.43,4450000,59.0
Simplilearn PMP® Course | Flat 40% Off - Enroll Now,similearn,6,Simplilearn,1,1,2025-01-22,70,2.31,3,0.01,6,0.0,0.14,4210000,48.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master certificate,3,Scrum Master,2,2,2025-01-22,260,3.21,3,0.01,9,0.01,0.64,13700000,64.0
PMP® Certification Course,how to get project management certification,1,PMP,3,3,2025-01-21,390,7.37,3,0.01,22,0.03,0.72,375000000,56.0
Simplilearn Courses | Online Courses,simplilearn courses,6,Simplilearn,1,1,2025-01-09,70,6.31,3,0.01,18,0.02,0.38,3310000,52.0
CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,certified scrum master course,3,Scrum Master,3,3,2025-01-18,390,5.46,3,0.01,16,0.02,0.43,49100000,60.0
Product Owner (CSPO®) Course | Limited Offer: Flat $279 Off,a certified scrum product owner,3,Scrum Master,1,1,2025-01-16,70,3.02,3,0.01,9,0.01,0.42,8800000,44.0
Master ITIL 4 Foundation - Clear ITIL Exam on 1st Attempt,itil foundation mock test,5,ITIL,1,1,2025-01-24,70,1.8,3,0.01,5,0.0,0.26,277000,12.0
Simplilearn PMP® Course | Special Offer: Get $400 Off,siplilearn,6,Simplilearn,1,1,2025-01-02,70,1.88,3,0.01,5,0.0,0.16,4790000,38.0
Simplilearn Online Bootcamps | Level Up Your Skills,simplielarn,6,Simplilearn,1,1,2025-01-23,70,2.31,3,0.01,6,0.0,0.14,4260000,62.0
Simplilearn® Courses | Online Certification Courses,simplielearn,6,Simplilearn,1,0,2025-01-26,70,2.31,3,0.01,6,0.0,0.14,4490000,58.0
Simplilearn Online Bootcamps | Online Certification Courses,simplilear,6,Simplilearn,1,1,2025-01-02,70,1.88,3,0.01,5,0.0,0.16,4610000,68.0
Simplilearn® Official Site | Online Certification Courses,simply lern,6,Simplilearn,1,1,2025-01-22,70,0.0,3,0.01,0,0.0,0.0,4130000,47.0
Master ITIL 4 Foundation - 100+ Premium Exam Questions,itil foundation mock exam,5,ITIL,1,1,2024-12-31,70,2.67,3,0.01,8,0.01,0.28,313000,16.0
AWS Certified Cloud Practioner | Today's offer- Flat $300 Off,best aws learning tutorial,9,AWS,5,5,2025-01-23,720,0.0,3,0.01,0,0.0,0.0,45700000,47.0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearns,6,Simplilearn,1,1,2025-01-17,50,2.31,2,0.01,4,0.0,0.14,4410000,76.0
PMP® Certification Course | Flat 40% Off - Enroll Now,pmp certification courses online,1,PMP,3,3,2024-12-27,260,9.78,2,0.01,19,0.02,0.62,8930000,57.0
PMP® Certification | Flat 40% Off - Enroll Now,online pmp certification training,1,PMP,1,1,2024-12-27,50,11.09,2,0.01,22,0.03,0.48,7540000,57.0
CSM Scrum Master Course Online | Limited-time Offer: $270 Only,csm scrum master certification,3,Scrum Master,2,2,2025-01-25,210,3.23,2,0.01,6,0.0,0.4,4620000,48.0
PMP® Training & Exam | Confidently Ace The PMP Exam,pmp prep classes,1,PMP,5,5,2025-01-01,590,10.08,2,0.01,20,0.03,0.55,490000,49.0
Simplilearn Online Bootcamps | Launch Your Career,simplilerarn,6,Simplilearn,1,1,2025-01-06,50,2.31,2,0.01,4,0.0,0.14,4770000,39.0
PMP® Exam & Certification - Confidently Ace The PMP Exam,pmp test requirements,1,PMP,3,3,2025-01-01,260,1.67,2,0.01,3,0.0,0.31,64800000,47.0
ITIL Certification Cost - 100% Exam Pass Guarantee,itil 4 foundation exam cost,5,ITIL,3,0,2025-01-26,320,2.48,2,0.01,4,0.0,0.47,1050000,24.0
Simplilearn® Courses,simple lern,6,Simplilearn,1,1,2025-01-21,50,2.31,2,0.01,4,0.0,0.14,4340000,
CAPM® Exam Prep in 3 Weeks | Ace CAPM® Exam in 1st Attempt,capm course,2,CAPM,6,0,2025-01-26,590,4.5,2,0.01,9,0.01,0.71,8770000,44.0
PMP® Certification Training | Flat 40% Off - Enroll Now,how much does it cost to do pmp-acp,1,PMP,4,4,2025-01-05,390,0.0,2,0.01,0,0.0,0.0,1910000,22.0
ITIL Certification Now - 4 Mock Tests | 30+ Quizzes,itil foundation test online,5,ITIL,1,1,2025-01-04,30,3.34,1,0.0,3,0.0,0.6,797000,17.0
ITIL Certification Course | Clear ITIL Exam on 1st Attempt,itil certification course online,5,ITIL,1,1,2025-01-22,40,6.05,1,0.0,6,0.0,0.24,4950000,32.0
PMP® Certification Training - Ace PMP Exam in 1st Attempt,pmp exam prep free,1,PMP,1,1,2025-01-24,40,2.59,1,0.0,2,0.0,0.63,2620000,30.0
Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,certified associate in project management capm course,1,PMP,2,2,2025-01-21,110,6.11,1,0.0,6,0.0,0.75,328000,27.0
PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,pmp certificaiton,1,PMP,2,2,2025-01-12,140,3.38,1,0.0,3,0.0,0.62,200000000,77.0
Simplilearn® Courses | Online Certification Courses,smplilearn,6,Simplilearn,2,2,2025-01-22,140,2.31,1,0.0,2,0.0,0.14,4210000,49.0
Simplilearn® ITIL Programs | Online Certification Courses,simplilearn artificial intelligence engineer,6,Simplilearn,1,1,2025-01-23,30,4.19,1,0.0,4,0.0,0.43,108000,33.0
ITIL Foundations Course | 100% Exam Pass Guarantee,itil foundation training,5,ITIL,4,4,2025-01-14,170,6.12,1,0.0,6,0.0,0.42,8940000,36.0
PMP® Certification | Ace PMP Exam in 1st Attempt,certificado de gestion de proyectos,1,PMP,1,1,2025-01-13,40,7.08,1,0.0,7,0.01,0.53,80600000,18.0
TOGAF® Certification Price - TOGAF® Free Exam Retake,togaf certification training,8,TOGAF,2,2,2025-01-21,90,4.43,1,0.0,4,0.0,0.47,1050000,33.0
Simplilearn Online Bootcamps - Online Certification Courses,simplileaern,6,Simplilearn,2,2,2025-01-18,140,2.31,1,0.0,2,0.0,0.14,4480000,38.0
ITIL Certification Course | 100% Exam Pass Guarantee,itil certification training,5,ITIL,2,2,2025-01-22,140,5.19,1,0.0,5,0.0,0.49,11800000,54.0
Become a Certified ScrumMaster | Today's Offer: Up To 51%...,certified scrummaster csm,3,Scrum Master,3,3,2025-01-18,140,3.23,1,0.0,3,0.0,0.4,4120000,60.0
TOGAF® Enterprise Architecture | Enroll in TOGAF® Course Now,udacity enterprise architecture,8,TOGAF,4,4,2025-01-06,260,0.0,1,0.0,0,0.0,0.0,131000,20.0
Simplilearn ITIL 4 Training | Online Certification Courses,simplilearn itil,5,ITIL,1,1,2025-01-05,40,8.9,1,0.0,8,0.01,0.48,92100,41.0
Simplilearn® Official Site - Online Certification Courses,simplilearn.com,6,Simplilearn,1,1,2025-01-15,40,2.44,1,0.0,2,0.0,0.18,4690000,77.0
Simplilearn® Training Programs | Get Certified. Get Ahead.,simplilearn cloud architect,6,Simplilearn,1,1,2025-01-13,40,0.0,1,0.0,0,0.0,0.05,372000,34.0
ITIL Certification Course | Clear ITIL Exam on 1st Attempt,itl certification,5,ITIL,1,1,2025-01-10,30,2.33,1,0.0,2,0.0,0.49,15500000,47.0
Simplilearn Online Bootcamps | Trusted by 3 Million+ Learners,simplearn,6,Simplilearn,1,1,2025-01-21,30,2.31,1,0.0,2,0.0,0.14,4270000,44.0
Master ITIL 4 Foundation - Clear ITIL Exam on 1st Attempt,itil 4 foundation mock exam,5,ITIL,1,1,2025-01-09,30,2.78,1,0.0,2,0.0,0.4,402000,15.0
PMP® Certification Course | Ace PMP Exam in 1st Attempt,pmp courses online free,1,PMP,1,1,2025-01-18,40,4.61,1,0.0,4,0.0,0.46,53900000,28.0
ITIL Foundations Course | 100% Exam Pass Guarantee,itil 4 foundation certification,5,ITIL,6,6,2025-01-09,390,3.33,1,0.0,3,0.0,0.52,9890000,44.0
PMI Certified PMP® Training | Flat 40% Off - Enroll Now,pmi project management course,1,PMP,3,3,2024-12-28,210,4.57,1,0.0,4,0.0,0.48,25400000,62.0
Simplilearn® Courses | Online Certification Courses,simplilearn data science,6,Simplilearn,2,2,2025-01-05,90,7.24,1,0.0,7,0.01,0.43,1630000,51.0
Become Certified Scrum Master | Today's Offer: Up To 51% Off,certified scrum master csm certification,3,Scrum Master,3,3,2024-12-28,170,3.37,1,0.0,3,0.0,0.38,1910000,51.0
Simplilearn ITIL V4 | Online Certification Courses,simplilearn cissp,6,Simplilearn,1,1,2025-01-05,30,5.91,1,0.0,5,0.0,0.63,46,37.0
CSM Scrum Master Course Online | Limited-time Offer: $270 Only,csm class,3,Scrum Master,3,3,2025-01-12,140,3.62,1,0.0,3,0.0,0.09,69900000,42.0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearn full stack developer,6,Simplilearn,2,2,2025-01-12,110,7.51,1,0.0,7,0.01,0.7,333000,50.0
PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,pmp training pmi,1,PMP,3,3,2025-01-09,210,3.98,1,0.0,3,0.0,0.57,5580000,70.0
Simplilearn ITIL 4 Training - Level Up Your Skills,skillup by simplilearn,6,Simplilearn,2,2,2024-12-31,90,4.47,1,0.0,4,0.0,0.31,55,49.0
Cloud Certification Course | Masters Certification in Cloud,caltech post graduate program in cloud computing,10,Cloud,3,3,2024-12-31,40,15.02,0,0.0,0,0.0,0.47,79700,19.0
PMP® Certification Course | Flat 40% Off - Enroll Now,it project manager certification,1,PMP,5,5,2024-12-29,140,7.25,0,0.0,0,0.0,0.51,262000000,45.0
Simplilearn Online Bootcamps | Online Certification Courses,simplilearns,6,Simplilearn,2,2,2025-01-17,50,2.31,0,0.0,0,0.0,0.14,4410000,76.0
PMP® Exam & Certification | Confidently Ace The PMP Exam,pmi exam prep,1,PMP,4,4,2024-12-31,140,5.36,0,0.0,0,0.0,0.66,5700000,56.0
PMP® Certification | Confidently Ace The PMP Exam,best course for pmp,1,PMP,4,4,2024-12-31,30,10.26,0,0.0,0,0.0,0.24,15600000,39.0
ITIL Certification Course | 100% Exam Pass Guarantee,itil certification online,5,ITIL,3,3,2025-01-03,110,3.55,0,0.0,0,0.0,0.3,3810000,40.0
ITIL Foundations Course | 100% Exam Pass Guarantee,itil online certification,5,ITIL,2,2,2024-12-31,30,4.0,0,0.0,0,0.0,0.29,11600000,35.0
No Cost & No Hidden Fees - AWS Certification Course,best platform to learn aws,9,AWS,4,0,2025-01-26,110,0.0,0,0.0,0,0.0,0.26,149000000,38.0
PMP® Certification Course | Confidently Ace The PMP Exam,pmp certification what is it,1,PMP,4,4,2025-01-01,70,2.08,0,0.0,0,0.0,0.28,143000000,49.0
CAPM® Certification Training | Ace CAPM® Exam in 1st...,certified associate in project management capm course,1,PMP,5,5,2025-01-21,110,6.11,0,0.0,0,0.0,0.75,328000,27.0
PMP® Course | Confidently Ace The PMP Exam,best pmp prep course,1,PMP,6,6,2024-12-31,170,8.4,0,0.0,0,0.0,0.52,1260000,32.0
ITIL Certification Course | 100% Exam Pass Guarantee,itil classes online,5,ITIL,3,3,2025-01-21,70,6.05,0,0.0,0,0.0,0.24,716000,33.0
Simplilearn® Courses | Online Certification Courses,simplilearn artificial intelligence engineer,6,Simplilearn,4,4,2024-12-27,30,9.33,0,0.0,0,0.0,0.95,149000,24.0
Simplilearn TOGAF - Online Certification Courses,simplilearn artificial intelligence engineer,6,Simplilearn,6,6,2025-01-23,30,4.19,0,0.0,0,0.0,0.43,108000,33.0
ITIL Foundations Course | 100% Exam Pass Guarantee,learning tree itil 4 foundation,5,ITIL,3,3,2024-12-31,40,2.53,0,0.0,0,0.0,0.26,235000,8.0
PMP® Training Course | Confidently Ace The PMP Exam,purdue project management essentials,1,PMP,2,2,2025-01-01,30,5.11,0,0.0,0,0.0,0.15,186000,34.0
Project Management Training,purdue project management essentials,1,PMP,5,5,2025-01-01,30,5.11,0,0.0,0,0.0,0.15,186000,34.0
TOGAF® Enterprise Architecture | Enroll in TOGAF® Course Now,it architect certification program,8,TOGAF,4,4,2025-01-22,110,3.68,0,0.0,0,0.0,0.22,41700000,31.0
TOGAF® 10 Certification Course | Enroll in TOGAF® Course Now,togaf course online,8,TOGAF,2,2,2025-01-03,40,4.94,0,0.0,0,0.0,0.4,313000,21.0
AWS Solution Architect Course | Get AWS Associate Certificate,aws solutions architect-associate,9,AWS,4,4,2025-01-05,70,3.86,0,0.0,0,0.0,0.25,11000000,61.0
